Create               Create
10                   Number
Penup                Penup
Forward              Forward
10                   Number
Pendown              Pendown
Right                Right
90                   Number
Repeat               Repeat
4                    Number
[                    [
Forward              Forward
10                   Number
Right                Right
90                   Number
]                    ]
If                   If
(                    (
Color                Color
==                   ==
pink                 colorcode
)                    )
[                    [
Setcolor             Setcolor
red                  colorcode
]                    ]
[                    [
Setcolor             Setcolor
blue                 colorcode
]                    ]
Define               Define
drawbox              Id
Repeat               Repeat
4                    Number
[                    [
Forward              Forward
10                   Number
Right                Right
90                   Number
]                    ]
End                  End
Call                 Call
drawbox              Id
